CITY,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
Bridgewater,40.626247,-74.653535,32.9,12/31/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/1/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/2/2012,0.07
Bridgewater,40.626247,-74.653535,32.9,1/3/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/4/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/5/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/6/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/7/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/8/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/9/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/10/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/11/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/12/2012,1.1
Bridgewater,40.626247,-74.653535,32.9,1/13/2012,0.15
Bridgewater,40.626247,-74.653535,32.9,1/14/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/15/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/16/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/17/2012,0.08
Bridgewater,40.626247,-74.653535,32.9,1/18/2012,0.25
Bridgewater,40.626247,-74.653535,32.9,1/19/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/20/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/21/2012,0.17
Bridgewater,40.626247,-74.653535,32.9,1/22/2012,0.12
Bridgewater,40.626247,-74.653535,32.9,1/23/2012,0.01
Bridgewater,40.626247,-74.653535,32.9,1/24/2012,0.48
Bridgewater,40.626247,-74.653535,32.9,1/25/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/26/2012,0.02
Bridgewater,40.626247,-74.653535,32.9,1/27/2012,0.32
Bridgewater,40.626247,-74.653535,32.9,1/28/2012,0.28
Bridgewater,40.626247,-74.653535,32.9,1/29/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/30/2012,0
Bridgewater,40.626247,-74.653535,32.9,1/31/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/1/2012,0.04
Bridgewater,40.626247,-74.653535,32.9,2/2/2012,0.01
Bridgewater,40.626247,-74.653535,32.9,2/3/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/4/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/5/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/6/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/7/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/8/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/9/2012,0.02
Bridgewater,40.626247,-74.653535,32.9,2/10/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/11/2012,0.08
Bridgewater,40.626247,-74.653535,32.9,2/12/2012,0.08
Bridgewater,40.626247,-74.653535,32.9,2/13/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/14/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/15/2012,0.01
Bridgewater,40.626247,-74.653535,32.9,2/16/2012,0.01
Bridgewater,40.626247,-74.653535,32.9,2/17/2012,0.17
Bridgewater,40.626247,-74.653535,32.9,2/18/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/19/2012,0.07
Bridgewater,40.626247,-74.653535,32.9,2/20/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/21/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/22/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/23/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/24/2012,0.31
Bridgewater,40.626247,-74.653535,32.9,2/25/2012,0.28
Bridgewater,40.626247,-74.653535,32.9,2/26/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/27/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/28/2012,0
Bridgewater,40.626247,-74.653535,32.9,2/29/2012,0
Bridgewater,40.626247,-74.653535,32.9,3/1/2012,0.51
Bridgewater,40.626247,-74.653535,32.9,3/2/2012,0
Bridgewater,40.626247,-74.653535,32.9,3/3/2012,0.3
Bridgewater,40.626247,-74.653535,32.9,3/4/2012,0.09
Bridgewater,40.626247,-74.653535,32.9,3/5/2012,0
Bridgewater,40.626247,-74.653535,32.9,3/6/2012,0
Bridgewater,40.626247,-74.653535,32.9,3/7/2012,0
Bridgewater,40.626247,-74.653535,32.9,3/8/2012,0
Bridgewater,40.626247,-74.653535,32.9,3/9/2012,0.09
Bridgewater,40.626247,-74.653535,32.9,3/10/2012,0
Bridgewater,40.626247,-74.653535,32.9,3/11/2012,0
