zipcode,State,CITY,CountyName,SizeRank,eom_date,month,year,avghomeprice_month,price_drop
08901,NJ,New Brunswick,Middlesex County,2082,2005-01-31,1,2005,264472, 
08807,NJ,Bridgewater Township,Somerset County,2481,2005-01-31,1,2005,469179, 
07920,NJ,Bridgewater Township,Somerset County,4533,2005-01-31,1,2005,619119, 
08836,NJ,Bridgewater Township,Somerset County,15436,2005-01-31,1,2005,625703, 
08901,NJ,New Brunswick,Middlesex County,2082,2005-02-28,2,2005,267524, 
08807,NJ,Bridgewater Township,Somerset County,2481,2005-02-28,2,2005,475145, 
07920,NJ,Bridgewater Township,Somerset County,4533,2005-02-28,2,2005,626621, 
08836,NJ,Bridgewater Township,Somerset County,15436,2005-02-28,2,2005,635165, 
08901,NJ,New Brunswick,Middlesex County,2082,2005-03-31,3,2005,270630, 
08807,NJ,Bridgewater Township,Somerset County,2481,2005-03-31,3,2005,479864, 
07920,NJ,Bridgewater Township,Somerset County,4533,2005-03-31,3,2005,632932, 
08836,NJ,Bridgewater Township,Somerset County,15436,2005-03-31,3,2005,642609, 
08901,NJ,New Brunswick,Middlesex County,2082,2005-04-30,4,2005,274220, 
08807,NJ,Bridgewater Township,Somerset County,2481,2005-04-30,4,2005,485207, 
07920,NJ,Bridgewater Township,Somerset County,4533,2005-04-30,4,2005,639485, 
08836,NJ,Bridgewater Township,Somerset County,15436,2005-04-30,4,2005,650298, 
08901,NJ,New Brunswick,Middlesex County,2082,2005-05-31,5,2005,278697, 
08807,NJ,Bridgewater Township,Somerset County,2481,2005-05-31,5,2005,489029, 
07920,NJ,Bridgewater Township,Somerset County,4533,2005-05-31,5,2005,644034, 
08836,NJ,Bridgewater Township,Somerset County,15436,2005-05-31,5,2005,656887, 
08901,NJ,New Brunswick,Middlesex County,2082,2005-06-30,6,2005,283090, 
08807,NJ,Bridgewater Township,Somerset County,2481,2005-06-30,6,2005,494254, 
07920,NJ,Bridgewater Township,Somerset County,4533,2005-06-30,6,2005,650707, 
08836,NJ,Bridgewater Township,Somerset County,15436,2005-06-30,6,2005,664521, 
08901,NJ,New Brunswick,Middlesex County,2082,2005-07-31,7,2005,287554, 
08807,NJ,Bridgewater Township,Somerset County,2481,2005-07-31,7,2005,499811, 
07920,NJ,Bridgewater Township,Somerset County,4533,2005-07-31,7,2005,657397, 
08836,NJ,Bridgewater Township,Somerset County,15436,2005-07-31,7,2005,669112, 
08901,NJ,New Brunswick,Middlesex County,2082,2005-08-31,8,2005,291744, 
08807,NJ,Bridgewater Township,Somerset County,2481,2005-08-31,8,2005,503430, 
07920,NJ,Bridgewater Township,Somerset County,4533,2005-08-31,8,2005,662149, 
08836,NJ,Bridgewater Township,Somerset County,15436,2005-08-31,8,2005,669344, 
08901,NJ,New Brunswick,Middlesex County,2082,2005-09-30,9,2005,295103, 
08807,NJ,Bridgewater Township,Somerset County,2481,2005-09-30,9,2005,507203, 
07920,NJ,Bridgewater Township,Somerset County,4533,2005-09-30,9,2005,665988, 
08836,NJ,Bridgewater Township,Somerset County,15436,2005-09-30,9,2005,670096, 
